"masked_pin","period","tax_type","total_turnover","total_operating_expense","total_administrative_expenses","total_financial_expenses","total_other_expenses","gross_tax"
"494e180d62b0742a30403ad600c335d45c47f9a240a781eac9626d576a59efc5","2024",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,310204.00
"0e55a42426975101971647ebe224e5417122cf3db01308c63eaac866310b32ab","2024",Income Tax - Resident Individual,1.00,1.00,0.00,0.00,0.00,0.00
"26042f1aabf0b3acc428409140726bbeb2ad4a9e4a3243277e4f5cb69ba5e982","2023",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,90876.00
"6a566011a8e7420bb31665eeab81caf587bb4fe88674e4ce96971e6aa2c99ed6","2024",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,457229.00
"30e77b4db73cce44798e880cab3243c7ff89959efd847d0046007aeeb5196413","2024",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,33010.00
"9a1f101dbf3445cd69ebcbbe229cfb9513b3526b76c6be6381986169b4465136","2024",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,880947.00
"4754fef9291f7228cc8cab90668648136a3d13d2e16c96c18e52d1be48e624de","2024",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,86232.00
f686e9e5754295498035407a16f1bc0d312316359ecce37dcccf6c1474717d0e,"2023",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,0.00
d5687930a84f8d3512a55399ce65be611ca68d2ecc9bd9fc43b1707ce409b6cd,"2024",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,24338.00
e61cdff8b39fbdc194e8d3f8d3b6a1ea36436efc3743f03994e648a98f836ec2,"2023",Income Tax - Company,29561705.00,3270575.00,0.00,10887236.00,28593489.00,0.00
"6c7e6725d6705c39de6f0141e71d22cdf6b0f32136c810591ab9d5783fb8a339","2023",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,0.00
e9bd76777332e1fc17a1d78ee98796d756ebafd41357a369e992077ba2985a7c,"2023",Income Tax - Company,0.00,50000.00,0.00,360.00,0.00,0.00
"22df8d35811d1cb19e895ec737e52df2fa81f0edf1a93c1ae5ae6562fd95adac","2023",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,515033.00
"05a2f26c26f06adff063c88fad9753299354fb070b413aeeda61c949db728e93","2023",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,97360.00
"51d8faa9b5fd17160a4e364b842db7f7d8cb43dfb8bed3a61764e10c4981cd2b","2024",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,0.00
"28f654e8ceb4ef121ab2137602a88e7ac5b5307cf7b8f72ee298fcf432ce62d7","2024",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,91364.00
"1f97d886e44f547b3ac57c96f7dd7659a996df3567689b42cd9d2992be92d1cb","2023",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,123028.00
"001387c3ca704aaf3d783700d58dfbf35f30fb496471c57d2238d90abcd5e9e2","2023",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,0.00
"000e602e09aad76dc50c9b600affbcae78855d7d7cf161d2ee3fdd9069917a28","2023",Income Tax - Resident Individual,39689.00,33074.00,0.00,0.00,0.00,355855.00
"00172b80673084e58044663453a1a6f6ea005fc98ffb83feac5a690a87461c3a","2024",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,815444.00
