"masked_pin","gender","year_of_birth","resident_individual","corporate_income_tax","withholding_tax","paye","turnover_tax","vat","excise_tax","rental_income_tax","station_name","department","activity_section","economic_activity_name","activity_division"
"0016c621b6e10cb43550bfe1d07e34c89abb3a4e04291ad33a1d4831bc5745ed",M,1984,2009-08-14 00:00:00.000 +0300,,,,,,,,West of Nairobi,MST,,,
"0016689af1a1b8f22a32a4170499569769e0c2c7d5b5634cf6d1c813089740ac",F,1971,2009-07-15 00:00:00.000 +0300,,,,,,,,NAKURU,MST,,,
"00137d16842ba52cb0dcb121d958e1d158dec58879a3262081e1af7568485683",M,1973,2011-03-02 00:00:00.000 +0300,,,,,,,,BUNGOMA,MST,,,
"0012b220cb983197091c7616dfca07ab6acaae1dee69cb034f5d7c916bc64d32",M,1988,2009-09-30 00:00:00.000 +0300,,,,,,,,East of Nairobi,MST,,,
"00150980efa5f437f1a362826872f129b3aaa407db45f2e43ac324e4a59a17cc",M,1983,2010-02-06 00:00:00.000 +0300,,,,,,,,Kisii,MST,,,
"0003680f4d904298672d4c41d7e26424acf8279d56708f5f0b3b7042198758c9",F,1962,2003-06-30 00:00:00.000 +0300,,,,,,,,Kisumu,MST,,,
"0011816e236476dbe0bfa3b0684b98d1dd88d3a7e9a3a57d24a04b003244b703",M,1973,2009-12-31 00:00:00.000 +0300,,,,,,,,Nyeri,MST,,,
"000dd66b50980389ca98e9aa8cf9b68d1e7663eebff6908fdb4c6971afa6b56a",M,1988,2009-12-31 00:00:00.000 +0300,,,,,,,,Kisii,MST,,,
"001c1859ffc8b270ee5baa266e88ef4d3df7588ed5b0c56ad58fe200112a51b9",M,1980,2007-02-19 00:00:00.000 +0300,,,,,,,,NAKURU,MST,,,
"001b769207224dda15a115ff9ff86df8d5fc28480fee8a4eff51824a8e357709",,,,,,,,,,,NAKURU,MST,,,
"001893b146944733a1d7005b6504aa63b6d50fca968cba5c1f9bed5f94b89ff3",,,,,,,,,,,Machakos,MST,,,
"0009bf51a0cf5e252d7a79dc1332baf9960c7c26fffd7f32eb4578b4f7613fdd",F,1975,2003-07-19 00:00:00.000 +0300,,,,,,,,ELDAMA RAVINE,MST,,,
"000e2023dda982a867018313fba3079ecbcb147b7e8afa865264792357dd2e5b",M,1989,2009-12-31 00:00:00.000 +0300,,,,,,,,Kakamega,MST,,,
"0002f04e56fb474a17c9959678a15d6ec9c3d42b85dcd275d8fb3a7cc1fdfac2",,,,,,,,,,,Nyeri,MST,,,
"000f722f6a2d99e123fdee0056dcb2dfaae01f73d70a2f469d7a68e2acb7488d",F,1977,2010-12-31 00:00:00.000 +0300,,,,,,,,North of Nairobi,MST,,,
"00058d32dec14b9d32a47ceaba3b3c9891476f638664cf027bbbfdcf90c70581",M,1965,2010-12-31 00:00:00.000 +0300,,,,,,,,West of Nairobi,MST,,,
"0017596a52df3380ae5baeecff41102063e74b26a85245deaba38995991bc85c",,,,,,,,,,,Kisii,MST,,,
"00157e052c59e46d5f2dead269ba26562300689deea84cd612be8bb107fb823b",F,1991,2010-12-31 00:00:00.000 +0300,,,,,,,,Eldoret,MST,,,
"000621207d0dbd295b2be136affe632ffda0574a80d49e49bf356e19c4844a44",F,1976,2009-02-03 00:00:00.000 +0300,,,,,,,,West of Nairobi,MST,,,
"00034a5574de79cff652deb9ecb718b9884211a95e9c319016cb68a84824cbd9",F,1985,2010-01-12 00:00:00.000 +0300,,,,,,,,Mombasa North,MST,,,
"0007e9e4f68e14e4a050587cde113eed103bb71e4805fd93282db3e7189e16ef",,,,,,,,,,,South of Nairobi,MST,,,
"000d57cf288a7c145f359d7260ceeb7fdaf753627fcd6db708b6c21d3f957f61",M,1988,2008-12-31 00:00:00.000 +0300,,,,,,,,Nyeri,MST,,,
"0008d885d3d3c351aa4166fc07cff5901204244ab2a1392d0d2c29fd80eb07de",M,1969,2009-12-31 00:00:00.000 +0300,,,,,,,,Thika,MST,,,
"001b83588f3e7e0e2509f4b10bde1994279b6fa3d4bc08a1d81f2fe9ab0f3053",F,1977,2009-12-31 00:00:00.000 +0300,,,,,,,,Nyeri,MST,,,
"0001da8357b7af8efc2723469c4f1587705f29f158e06519addfbcd6318609d3",M,1987,2009-12-31 00:00:00.000 +0300,,,,,,,,North of Nairobi,MST,,,
"001b6fe5807d31dd2570c40471807544c21220ce58841ae89116184ebfc9e2e0",M,1986,2011-12-31 00:00:00.000 +0300,,,,,,,,Kisii,MST,,,
"001401f1e633f25d4b42069c58b48f4579d789531a3fb8c44480d397586e49b0",F,1984,2011-12-31 00:00:00.000 +0300,,,,,,,,Nyeri,MST,,,
"0010e1f9f697ef006aba0afbd3c4d4590ea6d4d9c6a6001225f74815741b1fad",F,1986,2012-09-05 00:00:00.000 +0300,,,,,,,,North of Nairobi,MST,,,
"0002aba3d76dcd4a88d9e10e046cac522a986eb39ee3a17a85098110f6acf03c",,,,,,,,,,,Thika,MST,,,
"0012e08b7f09d0d0a825daa07743b962dc6c2929e9384e697ab8de8b024f65a4",M,1973,1998-02-23 00:00:00.000 +0300,,,,,2022-05-02 00:00:00.000 +0300,,,Nyeri,MST,856,SERVICE ACTIVITIES,952
"0003235f6d979aedcedfb357fe696897cecd1acf954d37e3eeb085e111925110",F,1984,2008-02-22 00:00:00.000 +0300,,,,,,,,BUNGOMA,MST,,,
"0016f1bea540df9972e7f743e42b76b796f1b0f8dde7fd5e5e4d2d7a6403be3b",,,,,,,,,,,Meru,MST,,,
"001bcf34727f0f16b4af71eafe2398ee1876a5a598296b0beaad0bf1c7548ee9",M,1970,2016-07-26 17:13:38.630 +0300,,,,2016-02-03 14:22:07.960 +0300,2016-07-26 17:13:38.630 +0300,,,LODWAR,MST,7,G - Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,725
"0002b77920fd48fd2ab260a7b910a2421b5e38e0868881f4e4d73643d52e669e",F,1979,2007-12-10 00:00:00.000 +0300,,,,,,,,East of Nairobi,MST,,,
"0017e6f22a4f6a0ad00277eca81037243c397c44e5b6b39d556513180a9e2813",,,,,,,,,,,Mombasa South,MST,,,
"001ae47dd1203677a0eef5d7985dad6217cf4dfbcdc182cb10ac06f85be2348d",M,1983,2005-11-28 00:00:00.000 +0300,,,,,,,,Mombasa South,MST,,,
"00015f72db273d5400d2ee39e76b69dc4a850466d31e036cb2031968d0b28270",,,,,,,,,,,Mombasa South,MST,,,
"0008c6422aea72114077843e833827e5fc17ae38831de3f7b600efc1c6c24f5f",F,1967,1995-06-19 00:00:00.000 +0300,,,,,,,,Kisumu,MST,,,
"0001b710e2e433c6b97559499abbc032a2ff4458cbb84b65f33dd7df23f437e2",M,1954,1993-01-08 00:00:00.000 +0300,,,,,,,,Kisumu,MST,,,
"00043084ede8a1c14941645682e45211063d388f711acda079aca913664a3d2c",M,1953,1993-09-07 00:00:00.000 +0300,,,,,,,,SIAYA,MST,,,
"00190806b9d86d9252940801dd41f20a9f50ff470c9933ee05b8ece9774c5c68",,,,,,,,,,,Kisumu,MST,,,
"0018ccf170c84e6c8637f8774590d77512624a66523cdbba8291ba4d4ba28292",F,1950,2011-03-02 00:00:00.000 +0300,,,,,,,,Machakos,MST,,,
"00178509407c0fd06e8ee3b09c8f40bb8dd69ec8131155bbb5388e403d6297e7",F,1974,2003-06-11 00:00:00.000 +0300,,,,,,,,Eldoret,MST,,,
"00120d8b8540ca41da1144941cc838381271d3ad7fd2b839bd5682fd9b7f282d",,,,,,,,,,,Kisumu,MST,,,
"001bdbd9a1c5949392ac9bde3b07ac62aad38e646cedc0da65a3cd8ac7f2c722",F,1982,2009-12-31 00:00:00.000 +0300,,,,,,,,BUNGOMA,MST,,,
"000bdca56a1914eba67399176d920890aaca86fb11d766b01de3203dc9169082",M,1984,2009-12-31 00:00:00.000 +0300,,,,,,,,KITALE,MST,,,
"00189bbdb1be6775854faa435188a30d88ce263724114029a535ae505a1c3a54",,,,,,,,,,,GARISSA,MST,,,
"000bbb45bdf0e152abb43619a9987f3e75418f84cb5413bb5c14e2e77d7b1de5",,,,,,,,,,,NAKURU,MST,,,
"00195ae33c1a1c809715c0fcc16add0a1ebfe6aea8bb29ab9dbbc00a66630a79",,,,,,,,,,,Thika,MST,,,
"0011750d19cae4940552cbc3dcf14de6394e9f9ebf438f9db4e213d519a4a817",M,1970,2003-08-29 00:00:00.000 +0300,,,,,,,,Eldoret,MST,,,
"0008221ae7695aa4da3a6530155dd1bd3bf1b8ae0eaa3d9f6fd6f4bd99e998ed",F,1984,2010-12-31 00:00:00.000 +0300,,,,,,,,North of Nairobi,MST,,,
"00003a407c9606827dc23a8bc1899639a44a531571975d41b382883b7fb43ed7",F,1955,2010-12-31 00:00:00.000 +0300,,,,,,,,Machakos,MST,,,
"0013f9e8a11ed87b4ab63cdb96c29763bfde4a2a6e9ebd884ec77594676a2484",F,1985,2011-12-31 00:00:00.000 +0300,,,,,,,,North of Nairobi,MST,,,
"000012786a08920cd6eda73cad21555e0fd9c4b0804edb6ada05d8d65d207f13",F,1974,2009-12-31 00:00:00.000 +0300,,,,,,,,Thika,MST,,,
"000ecf075565e0203acecdcc7e43ef0683aed41178a2ee1c559f7e01b052c336",M,1989,2009-12-31 00:00:00.000 +0300,,,,,,,,Thika,MST,,,
"001c06004751c5953f7144ac7236c4f8a3bbb12869652aaf71ff6848bbc01532",M,1959,1994-07-13 00:00:00.000 +0300,,,,,,,,MIGORI,MST,,,
"0015b92bac18a5770352bd53a3594f5bd9094f94c35f1377482e75e73f9260fb",M,1986,2010-12-31 00:00:00.000 +0300,,,,,,,,North of Nairobi,MST,,,
"000151686038408919b5cd73419053dd0e969502d7477069e408cbc02ec09a9d",M,1968,2010-12-31 00:00:00.000 +0300,,,,,,,,Eldoret,MST,,,
"000962d30b717560f1aaf873c46e8d7d295ab6ac1c58f3bfa802301bc6694ab7",M,1987,2010-12-31 00:00:00.000 +0300,,,,,,,,South of Nairobi,MST,,,
"0018719351bf30ed80c12a85a8f888e7dc2be5d52f0c8e60de09dffc5ab1ed6e",,,,,,,,,,,North of Nairobi,MST,,,
"000164030447dcf7aaf8ee26202465a9f8a4d8dc7794dea1e0296467dda6a58c",F,1992,2011-12-31 00:00:00.000 +0300,,,2011-12-31 00:00:00.000 +0300,,,,,KAPSABET,MST,,,
"000d40af1f8253123fe13b4206806714d64596ae05be2459dd3070ed9b6763ab",,,,,,,,,,,Eldoret,MST,,,
